日期,ETF,开盘,最高,最低,收盘,成交量
03/11/2026,IBIT,39.83,40.47,39.52,40.07,"46,499,470"
03/10/2026,IBIT,40.185,40.725,39.29,39.71,"62,965,480"
03/09/2026,IBIT,38.99,39.445,38.69,39.13,"73,613,460"
03/06/2026,IBIT,39.11,39.19,38.375,38.60,"57,220,290"
03/05/2026,IBIT,41.14,41.31,40.035,40.39,"61,402,210"
03/04/2026,IBIT,40.70,42.02,40.44,41.44,"115,483,500"
03/03/2026,IBIT,38.03,39.14,37.50,38.70,"70,667,450"
03/02/2026,IBIT,37.19,39.78,37.17,39.195,"101,283,200"
02/27/2026,IBIT,37.50,37.63,36.91,37.19,"48,597,840"
02/26/2026,IBIT,38.62,38.72,37.71,38.26,"51,941,110"
02/25/2026,IBIT,37.75,39.46,37.5301,39.23,"79,921,090"
02/24/2026,IBIT,35.72,36.71,35.60,36.53,"47,064,700"
02/23/2026,IBIT,37.465,37.56,36.20,36.55,"61,935,350"
02/20/2026,IBIT,37.99,38.61,37.72,38.42,"62,397,070"
02/19/2026,IBIT,37.385,38.10,37.20,38.07,"44,587,860"
02/18/2026,IBIT,38.00,38.75,37.30,37.54,"50,091,290"
02/17/2026,IBIT,38.545,38.6901,37.735,38.39,"54,882,690"
02/13/2026,IBIT,38.16,39.38,37.89,38.97,"65,553,150"
02/12/2026,IBIT,38.52,38.72,36.875,37.05,"62,511,890"
02/11/2026,IBIT,38.56,38.6919,37.245,38.29,"71,103,810"
02/10/2026,IBIT,39.225,39.70,38.49,38.97,"61,505,440"
02/09/2026,IBIT,39.12,40.35,38.81,40.11,"77,526,130"
02/06/2026,IBIT,38.05,40.57,38.01,39.68,"163,384,200"
02/05/2026,IBIT,39.70,40.145,35.30,36.10,"284,371,500"
02/04/2026,IBIT,42.635,42.89,40.80,41.57,"110,932,700"
02/03/2026,IBIT,44.455,44.46,41.295,43.30,"125,821,800"
02/02/2026,IBIT,44.25,45.01,43.975,44.22,"106,528,100"
03/11/2026,FBTC,61.17,62.155,60.72,61.57,"4,729,409"
03/10/2026,FBTC,61.77,62.57,60.36,61.03,"5,141,029"
03/09/2026,FBTC,59.87,60.58,59.45,60.13,"5,188,299"
03/06/2026,FBTC,60.07,60.19,58.98,59.31,"5,759,543"
03/05/2026,FBTC,63.19,63.44,61.51,62.05,"4,882,663"
03/04/2026,FBTC,62.48,64.56,62.13,63.68,"6,999,775"
03/03/2026,FBTC,58.46,60.10,57.62,59.45,"5,118,050"
03/02/2026,FBTC,57.09,61.11,57.09,60.26,"10,070,420"
02/27/2026,FBTC,57.58,57.81,56.72,57.15,"3,154,283"
02/26/2026,FBTC,59.37,59.49,57.94,58.74,"5,998,120"
02/25/2026,FBTC,58.00,60.61,57.67,60.30,"6,270,007"
02/24/2026,FBTC,54.89,56.40,54.695,56.13,"5,180,192"
02/23/2026,FBTC,57.56,57.6902,55.63,56.13,"6,669,243"
02/20/2026,FBTC,58.39,59.31,57.97,59.01,"7,635,863"
02/19/2026,FBTC,57.45,58.535,57.15,58.46,"3,891,389"
02/18/2026,FBTC,58.40,59.52,57.33,57.69,"6,246,204"
02/17/2026,FBTC,59.24,59.44,57.9801,59.02,"5,102,096"
02/13/2026,FBTC,58.59,60.51,58.20,59.89,"6,026,501"
02/12/2026,FBTC,59.20,59.455,56.66,56.91,"9,723,143"
02/11/2026,FBTC,59.20,59.42,57.23,58.82,"7,415,579"
02/10/2026,FBTC,60.25,60.96,59.13,59.90,"4,618,642"
02/09/2026,FBTC,60.09,61.98,59.615,61.605,"8,557,595"
02/06/2026,FBTC,58.43,62.32,58.40,60.96,"10,498,290"
02/05/2026,FBTC,60.99,61.65,54.205,55.45,"26,561,500"
02/04/2026,FBTC,65.495,65.89,62.69,63.90,"14,478,100"
02/03/2026,FBTC,68.31,68.31,63.46,66.58,"13,322,180"
02/02/2026,FBTC,68.02,69.14,67.56,67.89,"12,943,640"
03/11/2026,GBTC,54.72,55.615,54.32,55.05,"3,080,044"
03/10/2026,GBTC,55.22,55.95,54.00,54.60,"3,996,655"
03/09/2026,GBTC,53.57,54.21,53.19,53.79,"3,502,087"
03/06/2026,GBTC,53.745,53.86,52.75,53.06,"2,350,181"
03/05/2026,GBTC,56.57,56.78,55.04,55.53,"4,447,029"
03/04/2026,GBTC,55.94,57.745,55.59,56.99,"5,125,113"
03/03/2026,GBTC,52.30,53.77,51.56,53.18,"4,122,990"
03/02/2026,GBTC,51.09,54.68,51.0801,53.89,"4,394,381"
02/27/2026,GBTC,51.54,51.725,50.75,51.13,"3,645,526"
02/26/2026,GBTC,53.10,53.24,51.86,52.58,"4,045,058"
02/25/2026,GBTC,51.90,54.2443,51.61,53.94,"3,376,390"
02/24/2026,GBTC,49.09,50.47,48.95,50.27,"2,331,986"
02/23/2026,GBTC,51.51,51.64,49.79,50.23,"3,942,617"
02/20/2026,GBTC,52.21,53.09,51.88,52.81,"5,055,107"
02/19/2026,GBTC,51.42,52.39,51.16,52.32,"2,196,036"
02/18/2026,GBTC,52.29,53.2899,51.32,51.64,"2,878,478"
02/17/2026,GBTC,53.03,53.21,51.91,52.81,"4,827,692"
02/13/2026,GBTC,52.46,54.17,52.115,53.63,"5,620,045"
02/12/2026,GBTC,52.99,53.24,50.74,50.95,"3,758,611"
02/11/2026,GBTC,53.05,53.21,51.25,52.67,"3,949,441"
02/10/2026,GBTC,53.98,54.60,52.95,53.63,"5,087,001"
02/09/2026,GBTC,53.83,55.505,53.39,55.19,"7,045,726"
02/06/2026,GBTC,52.32,55.795,52.305,54.63,"5,904,835"
02/05/2026,GBTC,54.61,55.21,48.555,49.66,"18,155,770"
02/04/2026,GBTC,58.66,59.02,56.15,57.22,"11,785,900"
02/03/2026,GBTC,61.18,61.18,56.83,59.61,"13,177,680"
02/02/2026,GBTC,60.89,61.91,60.52,60.82,"8,956,166"
03/11/2026,ARKB,23.31,23.68,23.13,23.46,"4,393,573"
03/10/2026,ARKB,23.52,23.84,22.99,23.255,"5,655,866"
03/09/2026,ARKB,22.83,23.08,22.65,22.93,"6,489,146"
03/06/2026,ARKB,22.90,22.93,22.465,22.60,"4,340,747"
03/05/2026,ARKB,24.08,24.18,23.44,23.64,"7,009,054"
03/04/2026,ARKB,23.81,24.59,23.68,24.26,"11,422,830"
03/03/2026,ARKB,22.28,22.90,21.96,22.65,"10,549,800"
03/02/2026,ARKB,21.76,23.275,21.76,22.96,"15,331,540"
02/27/2026,ARKB,21.94,22.02,21.62,21.78,"2,942,900"
02/26/2026,ARKB,22.60,22.66,22.08,22.38,"6,326,493"
02/25/2026,ARKB,22.11,23.09,21.97,22.98,"5,601,237"
02/24/2026,ARKB,20.92,21.49,20.84,21.41,"4,683,134"
02/23/2026,ARKB,21.95,21.98,21.20,21.385,"4,897,917"
02/20/2026,ARKB,22.23,22.60,22.085,22.48,"6,153,833"
02/19/2026,ARKB,21.88,22.30,21.77,22.29,"4,900,320"
02/18/2026,ARKB,22.245,22.68,21.84,21.98,"4,281,261"
02/17/2026,ARKB,22.58,22.645,22.09,22.48,"6,051,192"
02/13/2026,ARKB,22.34,23.04,22.18,22.82,"7,007,080"
02/12/2026,ARKB,22.56,22.655,21.5903,21.68,"5,188,139"
02/11/2026,ARKB,22.56,22.64,21.81,22.42,"7,685,996"
02/10/2026,ARKB,22.97,23.23,22.53,22.82,"3,731,588"
02/09/2026,ARKB,22.88,23.615,22.72,23.49,"5,521,497"
02/06/2026,ARKB,22.26,23.73,22.255,23.24,"6,216,315"
02/05/2026,ARKB,23.23,23.49,20.66,21.14,"15,890,440"
02/04/2026,ARKB,24.95,25.11,23.90,24.35,"14,455,970"
02/03/2026,ARKB,26.03,26.03,24.18,25.36,"21,540,380"
02/02/2026,ARKB,25.89,26.33,25.745,25.87,"17,499,590"
03/11/2026,BITB,38.18,38.76,37.87,38.37,"3,209,174"
03/10/2026,BITB,38.49,39.02,37.645,38.05,"4,777,649"
03/09/2026,BITB,37.36,37.78,37.07,37.50,"5,167,156"
03/06/2026,BITB,37.47,37.53,36.77,36.98,"3,069,102"
03/05/2026,BITB,39.40,39.57,38.36,38.70,"5,629,766"
03/04/2026,BITB,38.99,40.24,38.74,39.72,"6,515,357"
03/03/2026,BITB,36.43,37.49,35.935,37.06,"6,853,887"
03/02/2026,BITB,35.66,38.10,35.62,37.56,"6,927,807"
02/27/2026,BITB,35.94,36.045,35.37,35.63,"2,424,585"
02/26/2026,BITB,37.00,37.09,36.13,36.65,"4,646,129"
02/25/2026,BITB,36.17,37.79,35.96,37.59,"3,493,052"
02/24/2026,BITB,34.23,35.17,34.11,35.01,"2,117,695"
02/23/2026,BITB,35.89,35.98,34.70,35.01,"3,996,521"
02/20/2026,BITB,36.37,36.98,36.14,36.79,"5,270,840"
02/19/2026,BITB,35.80,36.49,35.64,36.45,"2,406,897"
02/18/2026,BITB,36.42,37.12,35.75,35.96,"2,564,558"
02/17/2026,BITB,36.945,37.0603,36.16,36.79,"3,013,113"
02/13/2026,BITB,36.53,37.72,36.30,37.35,"3,604,272"
02/12/2026,BITB,36.90,37.09,35.35,35.50,"3,632,441"
02/11/2026,BITB,36.95,37.06,35.69,36.69,"2,962,378"
02/10/2026,BITB,37.58,38.01,36.87,37.35,"3,701,436"
02/09/2026,BITB,37.47,38.64,37.18,38.44,"4,309,129"
02/06/2026,BITB,36.46,38.85,36.42,38.04,"4,362,092"
02/05/2026,BITB,38.02,38.45,33.81,34.56,"11,785,740"
02/04/2026,BITB,40.83,41.10,39.10,39.84,"4,511,773"
02/03/2026,BITB,42.59,42.59,39.58,41.47,"10,223,110"
02/02/2026,BITB,42.39,43.11,42.135,42.34,"7,378,791"
